recnr,firstname,sex,origin,source
1,Enzi ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
2,Moayad,male,amharic,https://www.names.org/lists/by-origin/amharic/
3,Manyama,female,swahili ,https://www.names.org/lists/by-origin/swahili/
4,Omotosho,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
5,Kalkidan,female,amharic,https://www.names.org/lists/by-origin/amharic/
6,Zhavia,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
7,Ann,female,english,https://www.names.org/lists/by-origin/english/
8,Imisioluwa,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
9,Ujana ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
10,Rhyno,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
11,Chisha,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
12,Lundi,female,xhosa,https://www.names.org/lists/by-origin/xhosa/
13,Adeyemi,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
14,Nkemjika,male,igbo,https://www.names.org/lists/by-origin/igbo/
15,Kaylo,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
16,Hodari ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
17,Linzi,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
18,Aliah,female,arabic,https://www.names.org/lists/by-origin/arabic/
19,Onesimo,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
20,Gamba ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
21,Kirolos,male,african,https://www.names.org/lists/by-origin/african/
22,Sharod,male,swahili ,https://www.names.org/lists/by-origin/swahili/
23,Kolawole,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
24,Daija,female,african,https://www.names.org/lists/by-origin/african/
25,Ademi,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
26,Hewan,female,amharic,https://www.names.org/lists/by-origin/amharic/
27,Carol,female,english,https://www.names.org/lists/by-origin/english/
28,Edrine,female,swahili ,https://www.names.org/lists/by-origin/swahili/
29,Zahli,female,english,https://www.names.org/lists/by-origin/english/
30,Rayya ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
31,Nkosi,male,xhosa,https://www.names.org/lists/by-origin/xhosa/
32,Rashaun,male,arabic,https://www.names.org/lists/by-origin/arabic/
33,Irebe,female,swahili ,https://www.names.org/lists/by-origin/swahili/
34,Karamu,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
35,Efuru ,female,swahili ,https://teamgroupnames.com/swahili-girl-names/
36,Rose,female,english,https://www.names.org/lists/by-origin/english/
37,Maya,female,english,https://www.names.org/lists/by-origin/english/
38,Mildred,female,english,https://www.names.org/lists/by-origin/english/
39,Rashford,male,african,https://www.names.org/lists/by-origin/african/
40,Khadijat,female,yoruba,https://www.names.org/lists/by-origin/yoruba/
41,Donell,male,african-american,https://www.names.org/lists/by-origin/african/
42,Raekwon,male,african-american,https://www.names.org/lists/by-origin/african/
43,Soliyana,female,african,https://www.names.org/lists/by-origin/african/
44,Duka,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
45,Oluwadamilola,male,african,https://www.names.org/lists/by-origin/african/
46,Louan,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
47,Kya,female,african,https://www.names.org/lists/by-origin/african/
48,Gakpo,male,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
49,Ogheneruona,male,igbo,https://www.names.org/lists/by-origin/igbo/
50,Toby,male,english,https://www.names.org/lists/by-origin/english/
51,Oluwasemilore,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
52,Khari,female,swahili ,https://www.names.org/lists/by-origin/swahili/
53,Imani,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
54,Nwachukwu,male,igbo,https://www.names.org/lists/by-origin/igbo/
55,Saron,female,african,https://www.names.org/lists/by-origin/african/
56,Jumaane,male,swahili ,https://www.names.org/lists/by-origin/swahili/
57,Ruie,female,arabic,https://www.names.org/lists/by-origin/arabic/
58,Lelia,female,arabic,https://www.names.org/lists/by-origin/arabic/
59,Maria,female,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
60,Omari,male,swahili ,https://teamgroupnames.com/swahili-boy-names/
61,Olajide,male,yoruba,https://www.names.org/lists/by-origin/yoruba/
62,Okafor,female,igbo,https://www.names.org/lists/by-origin/igbo/
63,Christal,female,african,https://www.names.org/lists/by-origin/african/
64,Kesi,female,swahili ,https://www.names.org/lists/by-origin/swahili/
65,Flomo,male,african,https://www.names.org/lists/by-origin/african/
66,Kesiena,female,igbo,https://www.names.org/lists/by-origin/igbo/
67,Breannia,female,amharic,https://www.names.org/lists/by-origin/amharic/
68,Zoe,female,english,https://www.names.org/lists/by-origin/english/
