recnr,lastname,origin,source
1,Tene,swahili ,https://www.names.org/lists/by-origin/swahili/
2,Hagar,african-american,https://www.names.org/lists/by-origin/african/
3,Kevish,african,https://www.names.org/lists/by-origin/african/
4,Monde,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
5,Rola,arabic,https://www.names.org/lists/by-origin/arabic/
6,Shah,arabic,https://www.names.org/lists/by-origin/arabic/
7,Maroska,arabic,https://www.names.org/lists/by-origin/arabic/
8,Tuleen,arabic,https://www.names.org/lists/by-origin/arabic/
9,Fortune,african-american,https://www.names.org/lists/by-origin/african/
10,Absher,arabic,https://www.names.org/lists/by-origin/arabic/
11,Hanon,amharic,https://www.names.org/lists/by-origin/amharic/
12,Oosthuizen,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
13,Finn,english,https://www.names.org/lists/by-origin/english/
14,Nwafor,igbo,https://www.names.org/lists/by-origin/igbo/
15,Emenike,igbo,https://www.names.org/lists/by-origin/igbo/
16,Diallo,african-american,https://www.names.org/lists/by-origin/african/
17,Fanus,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
18,Getaneh,amharic,https://www.names.org/lists/by-origin/amharic/
19,Vient,african,https://www.names.org/lists/by-origin/african/
20,Onyema,igbo,https://www.names.org/lists/by-origin/igbo/
21,Kanar,arabic,https://www.names.org/lists/by-origin/arabic/
22,Umana,african-american,https://www.names.org/lists/by-origin/african/
23,Mays,arabic,https://www.names.org/lists/by-origin/arabic/
24,Onwuka,igbo,https://www.names.org/lists/by-origin/igbo/
25,Feleke,amharic,https://www.names.org/lists/by-origin/amharic/
26,Smith,yoruba,https://www.names.org/lists/by-origin/yoruba/
27,Varin,arabic,https://www.names.org/lists/by-origin/arabic/
28,Lewis,english,https://www.names.org/lists/by-origin/english/
29,Admasu,amharic,https://www.names.org/lists/by-origin/amharic/
30,Jomo,swahili ,https://www.names.org/lists/by-origin/swahili/
31,Roads,amharic,https://www.names.org/lists/by-origin/amharic/
32,Andreas,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
33,Nyirenda,swahili ,https://www.names.org/lists/by-origin/swahili/
34,Sheldon,english,https://www.names.org/lists/by-origin/english/
35,Belay,amharic,https://www.names.org/lists/by-origin/amharic/
36,Nwogu,igbo,https://www.names.org/lists/by-origin/igbo/
37,Rabby,arabic,https://www.names.org/lists/by-origin/arabic/
38,Nnaji,igbo,https://www.names.org/lists/by-origin/igbo/
39,Godson,igbo,https://www.names.org/lists/by-origin/igbo/
40,Dlamini,african,https://www.names.org/lists/by-origin/african/
41,Bonke,xhosa,https://www.names.org/lists/by-origin/xhosa/
42,Hennon,amharic,https://www.names.org/lists/by-origin/amharic/
43,Bennett,english,https://www.names.org/lists/by-origin/english/
44,Welday,amharic,https://www.names.org/lists/by-origin/amharic/
45,Hawa,yoruba,https://www.names.org/lists/by-origin/yoruba/
46,Teklemariam,amharic,https://www.names.org/lists/by-origin/amharic/
47,Workneh,amharic,https://www.names.org/lists/by-origin/amharic/
48,Tembo,swahili ,https://www.names.org/lists/by-origin/swahili/
49,Mwanza,xhosa,https://www.names.org/lists/by-origin/xhosa/
50,Zura,arabic,https://www.names.org/lists/by-origin/arabic/
51,Akande,yoruba,https://www.names.org/lists/by-origin/yoruba/
52,Talia,english,https://www.names.org/lists/by-origin/english/
53,Vanderwalt,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
54,Nkosi,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
55,Langa,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
56,Ahmed,african,https://www.names.org/lists/by-origin/african/
57,Minnaar,african dutch (afrikaans) ,https://www.names.org/lists/by-origin/african-dutch-afrikaans-/
58,Letso,african,https://www.names.org/lists/by-origin/african/
